product_id,product_number,product_name,cost,product_line,start_date
500,CP-TI-500,Zenith Tire-278,63,Standard,1/1/2022
501,AC-PU-501,Zenith Pump-594,80,Standard,1/1/2022
502,CP-SA-502,Zenith Saddle-869,27,Road,1/1/2022
503,CL-SH-503,Zenith Shorts-382,111,Standard,1/1/2022
504,BK-GR-504,Zenith Gravel-344,851,Mountain,1/1/2022
505,AC-LO-505,Zenith Lock-614,67,Standard,1/1/2022
506,AC-BO-506,Zenith Bottle-433,55,Standard,1/1/2022
507,BK-GR-507,Zenith Gravel-412,660,Touring,1/1/2022
508,AC-LI-508,Zenith Light-844,74,Standard,1/1/2022
509,CL-GL-509,Zenith Gloves-491,95,Standard,1/1/2022
510,CL-JA-510,Zenith Jacket-890,,Standard,1/1/2022
511,CP-TI-511,Zenith Tire-585,49,Standard,1/1/2022
512,BK-TO-512,Zenith Touring-761,1295,Mountain,1/1/2022
513,CP-CH-513,Zenith Chain-531,45,Road,1/1/2022
514,CL-JA-514,Zenith Jacket-593,83,Standard,1/1/2022
515,CL-SO-515,Zenith Socks-472,108,Standard,1/1/2022
516,AC-LO-516,Zenith Lock-317,52,Standard,1/1/2022
517,AC-BO-517,Zenith Bottle-491,58,Standard,1/1/2022
518,AC-PU-518,Zenith Pump-351,62,Standard,1/1/2022
519,AC-LI-519,Zenith Light-695,60,Standard,1/1/2022
520,CL-GL-520,Zenith Gloves-331,40,Standard,1/1/2022
521,CL-SO-521,Zenith Socks-534,57,Standard,1/1/2022
522,CL-SH-522,Zenith Shorts-260,82,Standard,1/1/2022
523,CL-JA-523,Zenith Jacket-711,34,Standard,1/1/2022
524,BK-RO-524,Zenith Road-218,1654,Road,1/1/2022
525,BK-RO-525,Zenith Road-673,1978,Touring,1/1/2022
526,AC-LO-526,Zenith Lock-784,49,Standard,1/1/2022
527,CP-SA-527,Zenith Saddle-838,57,Road,1/1/2022
528,BK-TO-528,Zenith Touring-858,1317,Road,1/1/2022
529,BK-GR-529,Zenith Gravel-216,1151,Touring,1/1/2022
530,BK-RO-530,Zenith Road-444,1990,Road,1/1/2022
531,CP-SA-531,Zenith Saddle-213,58,Standard,1/1/2022
532,CP-TI-532,Zenith Tire-436,25,Road,1/1/2022
533,CL-JE-533,Zenith Jersey-542,119,Standard,1/1/2022
534,CP-SA-534,Zenith Saddle-686,67,Standard,1/1/2022
535,BK-MO-535,Zenith Mountain-743,1760,Road,1/1/2022
536,CP-PE-536,Zenith Pedals-382,55,Mountain,1/1/2022
537,BK-TO-537,Zenith Touring-798,863,Road,1/1/2022
538,AC-BO-538,Zenith Bottle-625,60,Standard,1/1/2022
539,CL-SO-539,Zenith Socks-560,44,Standard,1/1/2022
540,BK-MO-540,Zenith Mountain-846,1104,Touring,1/1/2022
541,BK-RO-541,Zenith Road-871,566,Road,1/1/2022
542,AC-LI-542,Zenith Light-891,76,Standard,1/1/2022
543,CL-JA-543,Zenith Jacket-842,,Standard,1/1/2022
544,CL-GL-544,Zenith Gloves-603,-42,Standard,1/1/2022
545,CP-SA-545,Zenith Saddle-300,138,Road,1/1/2022
546,CP-PE-546,Zenith Pedals-479,77,Mountain,1/1/2022
547,AC-HE-547,Zenith Helmet-690,56,Standard,1/1/2022
548,BK-RO-548,Zenith Road-195,1530,Road,1/1/2022
549,CL-JA-549,Zenith Jacket-753,84,Standard,1/1/2022
550,CL-GL-550,Zenith Gloves-435,120,Standard,1/1/2022
551,AC-LO-551,Zenith Lock-349,40,Standard,1/1/2022
552,CP-SA-552,Zenith Saddle-580,135,Standard,1/1/2022
553,CP-CH-553,Zenith Chain-732,99,Standard,1/1/2022
554,AC-HE-554,Zenith Helmet-265,27,Standard,1/1/2022
555,AC-BO-555,Zenith Bottle-541,20,Standard,1/1/2022
556,AC-BO-556,Zenith Bottle-144,22,Standard,1/1/2022
557,CL-GL-557,Zenith Gloves-830,102,Standard,1/1/2022
558,AC-HE-558,Zenith Helmet-771,41,Standard,1/1/2022
