order_number,product_id,customer_id,order_date,quantity,price,shipping_date,due_date,sales_amount,store_id
SO50000,4327,19844,8/10/2023,2,370,8/12/2023,8/24/2023,740,37
SO50001,2564,31509,10/20/2023,1,858,10/22/2023,11/3/2023,858,87
SO50002,4442,21629,11/27/2023,5,851,11/29/2023,12/11/2023,4255,88
SO50003,709,29491,9/22/2023,5,81,9/24/2023,10/6/2023,405,62
SO50004,1855,21852,2/9/2023,2,132,2/11/2023,2/23/2023,264,13
SO50005,4563,13352,10/10/2023,2,916,10/12/2023,10/24/2023,1832,79
SO50006,4679,17208,9/16/2023,1,444,9/18/2023,9/30/2023,444,24
SO50007,3555,24829,12/10/2023,1,873,12/12/2023,12/24/2023,873,38
SO50008,3857,14147,5/22/2023,3,22,5/24/2023,6/5/2023,66,70
SO50009,1542,21816,9/6/2023,3,734,9/8/2023,9/20/2023,2202,38
SO50010,2139,16560,2/21/2023,1,477,2/23/2023,3/7/2023,477,76
SO50011,4103,17351,8/5/2023,3,329,8/7/2023,8/19/2023,987,45
SO50012,3341,14809,7/7/2023,5,391,7/9/2023,7/21/2023,1955,93
SO50013,4036,14366,9/14/2023,3,394,9/16/2023,9/28/2023,1182,13
SO50014,4406,25756,11/16/2023,3,678,11/18/2023,11/30/2023,2034,71
SO50015,2576,34180,12/27/2023,3,64,12/29/2023,1/10/2024,192,26
SO50016,1893,19304,9/15/2023,2,847,9/17/2023,9/29/2023,1694,7
SO50017,1013,23116,10/6/2023,3,91,10/8/2023,10/20/2023,273,17
SO50018,2205,29651,7/8/2023,4,438,7/10/2023,7/22/2023,1752,23
SO50019,2200,33961,10/10/2023,5,251,10/12/2023,10/24/2023,1255,59
SO50020,4920,34665,7/2/2023,3,707,7/4/2023,7/16/2023,2121,34
SO50021,4083,12368,10/8/2023,5,67,10/10/2023,10/22/2023,335,57
SO50022,3753,23045,3/29/2023,5,384,3/31/2023,4/12/2023,1920,22
SO50023,2950,16329,10/26/2023,4,569,10/28/2023,11/9/2023,2276,56
SO50024,1333,29782,7/19/2023,3,958,7/21/2023,8/2/2023,2874,84
SO50025,2174,31784,12/17/2023,5,456,12/19/2023,12/31/2023,2280,57
SO50026,2027,34353,6/4/2023,4,277,6/6/2023,6/18/2023,1108,1
SO50027,537,13082,1/29/2023,1,835,1/31/2023,2/12/2023,835,33
SO50028,2375,24392,1/4/2023,3,375,1/6/2023,1/18/2023,1125,40
SO50029,4541,24660,9/2/2023,1,594,9/4/2023,9/16/2023,594,1
SO50030,1286,28336,1/1/2024,5,237,1/3/2024,1/15/2024,1185,28
SO50031,3116,30806,9/29/2023,1,831,10/1/2023,10/13/2023,831,9
SO50032,1911,17548,2/1/2023,4,484,2/3/2023,2/15/2023,1936,44
SO50033,4207,24443,6/1/2023,5,696,6/3/2023,6/15/2023,3480,84
SO50034,2041,19662,1/22/2023,4,34,1/24/2023,2/5/2023,136,26
SO50035,4910,31289,7/16/2023,2,761,7/18/2023,7/30/2023,1522,63
SO50036,1311,18123,5/17/2023,2,897,5/19/2023,5/31/2023,1794,68
SO50037,828,13258,8/1/2023,2,262,8/3/2023,8/15/2023,524,50
SO50038,4568,19608,10/5/2023,3,988,10/7/2023,10/19/2023,2964,64
SO50039,1957,12479,7/18/2023,2,922,7/20/2023,8/1/2023,1844,41
SO50040,4975,28439,11/22/2023,2,570,11/24/2023,12/6/2023,1140,9
SO50041,4096,22056,2/21/2023,3,796,2/23/2023,3/7/2023,2388,79
SO50042,3960,29645,7/27/2023,3,562,7/29/2023,8/10/2023,1686,100
SO50043,3259,14604,8/29/2023,1,826,8/31/2023,9/12/2023,826,83
SO50044,1898,19656,10/13/2023,5,138,10/15/2023,10/27/2023,690,90
SO50045,2578,10683,8/9/2023,1,633,8/11/2023,8/23/2023,633,53
SO50046,5318,31938,2/13/2023,2,94,2/15/2023,2/27/2023,188,14
SO50047,5480,15444,9/14/2023,3,498,9/16/2023,9/28/2023,1494,76
SO50048,2799,13011,4/5/2023,5,125,4/7/2023,4/19/2023,625,67
SO50049,4252,14350,12/20/2023,5,712,12/22/2023,1/3/2024,3560,38
SO50050,2690,24794,10/18/2023,1,579,10/20/2023,11/1/2023,579,40
SO50051,2064,20025,4/14/2023,5,349,4/16/2023,4/28/2023,1745,31
SO50052,2269,26995,11/3/2023,2,474,11/5/2023,11/17/2023,948,67
SO50053,5079,22621,7/24/2023,4,312,7/26/2023,8/7/2023,1248,79
SO50054,1300,10757,1/12/2023,4,929,1/14/2023,1/26/2023,3716,33
SO50055,1014,10597,7/29/2023,5,523,7/31/2023,8/12/2023,2615,85
SO50056,5356,30628,2/9/2023,3,688,2/11/2023,2/23/2023,2064,6
SO50057,1026,34290,11/22/2023,4,787,11/24/2023,12/6/2023,3148,56
SO50058,1238,32816,1/5/2023,1,809,1/7/2023,1/19/2023,809,100
SO50059,1000,19899,10/14/2023,4,730,10/16/2023,10/28/2023,2920,21
SO50060,1549,30593,2/28/2023,1,786,3/2/2023,3/14/2023,786,88
SO50061,5414,23408,12/18/2023,1,780,12/20/2023,1/1/2024,780,50
SO50062,1518,28533,3/15/2023,2,57,3/17/2023,3/29/2023,114,97
SO50063,3981,25899,5/24/2023,4,157,5/26/2023,6/7/2023,628,56
SO50064,4352,27747,2/7/2023,3,440,2/9/2023,2/21/2023,1320,32
SO50065,1734,23891,11/5/2023,4,500,11/7/2023,11/19/2023,2000,51
SO50066,1519,33823,12/14/2023,5,482,12/16/2023,12/28/2023,2410,45
SO50067,3136,24310,1/5/2023,2,976,1/7/2023,1/19/2023,1952,8
SO50068,1444,34953,4/27/2023,2,746,4/29/2023,5/11/2023,1492,78
SO50069,5363,29276,3/22/2023,1,793,3/24/2023,4/5/2023,793,65
SO50070,5148,12183,7/8/2023,1,589,7/10/2023,7/22/2023,589,98
SO50071,513,31653,11/11/2023,3,439,11/13/2023,11/25/2023,1317,45
