product_id,subcategory,maintenance_required,product_line
500,Tires,No,Touring
501,Helmets,Yes,Road
502,Tires,No,Standard
503,Road Bikes,No,Touring
504,Helmets,No,Road
505,Tires,Yes,Mountain
506,Road Bikes,Yes,Road
507,Road Bikes,No,Touring
508,Helmets,No,Road
509,Jerseys,Yes,Touring
510,Helmets,No,Touring
511,Road Bikes,No,Standard
512,Mountain Bikes,No,Mountain
513,Helmets,No,Road
514,Mountain Bikes,Yes,Road
515,Tires,No,Mountain
516,Jerseys,Yes,Touring
517,Tires,Yes,Mountain
518,Mountain Bikes,No,Touring
519,Tires,Yes,Standard
520,Road Bikes,Yes,Touring
521,Jerseys,No,Road
522,Road Bikes,Yes,Road
523,Jerseys,No,Road
524,Mountain Bikes,Yes,Touring
525,Road Bikes,Yes,Standard
526,Mountain Bikes,No,Standard
527,Road Bikes,Yes,Standard
528,Mountain Bikes,Yes,Standard
529,Tires,No,Mountain
530,Helmets,Yes,Mountain
531,Helmets,Yes,Mountain
532,Helmets,No,Touring
533,Jerseys,No,Road
534,Helmets,Yes,Standard
535,Road Bikes,Yes,Standard
536,Helmets,No,Standard
537,Jerseys,Yes,Mountain
538,Helmets,Yes,Mountain
539,Jerseys,No,Standard
540,Jerseys,Yes,Touring
541,Tires,No,Standard
542,Mountain Bikes,No,Road
543,Road Bikes,No,Standard
544,Tires,No,Mountain
545,Mountain Bikes,Yes,Road
546,Road Bikes,Yes,Touring
547,Mountain Bikes,Yes,Standard
548,Tires,No,Touring
549,Jerseys,Yes,Road
550,Mountain Bikes,Yes,Road
551,Mountain Bikes,Yes,Mountain
552,Mountain Bikes,No,Mountain
553,Road Bikes,No,Mountain
554,Tires,No,Road
555,Road Bikes,No,Standard
556,Tires,Yes,Mountain
557,Tires,Yes,Road
558,Helmets,No,Road
559,Tires,No,Road
560,Mountain Bikes,Yes,Touring
561,Jerseys,Yes,Standard
562,Helmets,Yes,Mountain
563,Tires,No,Touring
564,Helmets,Yes,Standard
565,Road Bikes,No,Road
566,Helmets,No,Touring
567,Mountain Bikes,Yes,Road
568,Jerseys,Yes,Touring
569,Mountain Bikes,No,Standard
570,Road Bikes,No,Standard
571,Helmets,Yes,Touring
572,Road Bikes,No,Mountain
573,Mountain Bikes,No,Road
574,Tires,No,Road
575,Tires,Yes,Standard
576,Road Bikes,Yes,Standard
577,Jerseys,Yes,Standard
578,Tires,Yes,Touring
579,Jerseys,Yes,Road
580,Mountain Bikes,No,Road
581,Jerseys,Yes,Touring
582,Jerseys,No,Standard
583,Mountain Bikes,Yes,Touring
584,Jerseys,No,Road
585,Jerseys,Yes,Standard
586,Jerseys,No,Standard
587,Tires,No,Mountain
588,Jerseys,Yes,Road
589,Mountain Bikes,No,Standard
590,Helmets,Yes,Mountain
591,Helmets,Yes,Touring
592,Tires,No,Touring
593,Helmets,No,Touring
594,Tires,No,Mountain
595,Mountain Bikes,No,Road
596,Jerseys,No,Standard
597,Jerseys,No,Touring
598,Road Bikes,Yes,Standard
599,Jerseys,No,Mountain
600,Mountain Bikes,Yes,Mountain
601,Road Bikes,Yes,Standard
602,Road Bikes,No,Standard
603,Road Bikes,No,Road
604,Helmets,Yes,Road
605,Road Bikes,Yes,Touring
606,Mountain Bikes,No,Standard
607,Jerseys,Yes,Touring
608,Mountain Bikes,No,Standard
609,Mountain Bikes,Yes,Standard
610,Jerseys,No,Road
611,Road Bikes,No,Touring
