return_id,order_number,return_date,return_reason,return_amount
80000,SO73815,5/20/2023,Wrong Item,441
80001,SO65776,12/22/2023,Size Mismatch,298
80002,SO51884,5/27/2023,Size Mismatch,153
80003,SO59476,1/24/2023,Unsatisfied,463
80004,SO54133,4/15/2023,Wrong Item,352
80005,SO57191,6/25/2023,Wrong Item,189
80006,SO79183,8/3/2023,Unsatisfied,318
80007,SO57130,10/16/2023,Defective,26
80008,SO69636,7/21/2023,Defective,144
80009,SO53309,9/18/2023,Defective,-267
80010,SO60495,12/8/2023,Defective,434
80011,SO56127,5/13/2023,Unsatisfied,212
80012,SO50563,9/14/2023,Unsatisfied,290
80013,SO55145,3/11/2023,Wrong Item,377
80014,SO79159,12/23/2023,Size Mismatch,110
80015,SO63273,11/19/2023,Wrong Item,468
80016,SO66950,6/1/2023,Unsatisfied,271
80017,SO76939,3/28/2023,Unsatisfied,256
80018,SO75073,9/23/2023,Wrong Item,415
80019,SO58693,3/8/2023,Unsatisfied,325
80020,SO56919,5/30/2023,Wrong Item,205
80021,SO53423,12/11/2023,Defective,403
80022,SO73023,4/4/2023,Defective,483
80023,SO69728,12/27/2023,Unsatisfied,444
80024,SO55047,2/23/2023,Wrong Item,86
80025,SO51091,12/14/2023,Unsatisfied,264
80026,SO55060,7/1/2023,Size Mismatch,346
80027,SO60280,7/1/2023,Defective,102
80028,SO56828,5/8/2023,Unsatisfied,205
80029,SO67303,7/6/2023,Wrong Item,363
80030,SO51453,9/9/2023,Size Mismatch,139
80031,SO63214,11/30/2023,Defective,176
80032,SO56853,10/20/2023,Unsatisfied,205
80033,SO73485,9/11/2023,Unsatisfied,85
80034,SO60058,9/30/2023,Unsatisfied,402
80035,SO65551,8/3/2023,Defective,454
80036,SO51649,1/24/2023,Unsatisfied,28
80037,SO79876,2/9/2023,Unsatisfied,252
80038,SO75200,4/13/2023,Wrong Item,396
80039,SO63541,2/8/2023,Defective,443
80040,SO53421,8/9/2023,Unsatisfied,387
80041,SO78599,8/13/2023,Defective,397
80042,SO54033,12/1/2023,Wrong Item,36
80043,SO54148,12/30/2023,Wrong Item,480
80044,SO75915,4/13/2023,Defective,431
80045,SO68908,5/12/2023,Wrong Item,370
80046,SO53417,5/31/2023,Size Mismatch,434
80047,SO58567,11/15/2023,Wrong Item,266
80048,SO76660,8/8/2023,Size Mismatch,478
80049,SO58048,8/28/2023,Defective,269
80050,SO57091,9/13/2023,Defective,63
80051,SO67993,1/16/2023,Size Mismatch,203
80052,SO51716,12/22/2023,Wrong Item,150
80053,SO62275,4/21/2023,Wrong Item,244
80054,SO54177,2/16/2023,Unsatisfied,353
80055,SO77087,10/23/2023,Wrong Item,381
80056,SO72654,12/7/2023,Size Mismatch,455
80057,SO77331,6/9/2023,Defective,439
80058,SO61795,11/1/2023,Size Mismatch,76
80059,SO57999,9/19/2023,Defective,253
80060,SO54855,1/29/2023,Size Mismatch,109
80061,SO58057,5/11/2023,Unsatisfied,157
80062,SO59984,5/23/2023,Unsatisfied,397
80063,SO68399,10/13/2023,Defective,263
80064,SO52459,1/1/2024,Defective,30
80065,SO58169,12/18/2023,Wrong Item,366
80066,SO75140,6/18/2023,Unsatisfied,107
80067,SO70707,1/28/2023,Wrong Item,341
80068,SO64450,10/1/2023,Unsatisfied,325
80069,SO53899,8/13/2023,Size Mismatch,484
80070,SO79300,10/2/2023,Unsatisfied,465
80071,SO54416,10/20/2023,Wrong Item,404
80072,SO67339,5/29/2023,Wrong Item,314
80073,SO64373,11/14/2023,Size Mismatch,113
80074,SO54105,3/31/2023,Wrong Item,77
80075,SO67775,12/26/2023,Wrong Item,363
80076,SO79970,5/30/2023,Size Mismatch,81
80077,SO71187,7/5/2023,Defective,238
80078,SO73068,9/9/2023,Unsatisfied,299
80079,SO79227,11/6/2023,Defective,356
80080,SO64677,10/1/2023,Defective,60
80081,SO60415,6/29/2023,Defective,350
80082,SO73081,5/13/2023,Unsatisfied,186
80083,SO60428,10/14/2023,Unsatisfied,406
80084,SO76381,5/2/2023,Wrong Item,385
80085,SO73702,12/15/2023,Size Mismatch,49
80086,SO67885,3/8/2023,Wrong Item,103
80087,SO56641,8/14/2023,Size Mismatch,131
80088,SO73305,11/1/2023,Unsatisfied,197
80089,SO71924,9/6/2023,Wrong Item,208
80090,SO53649,8/5/2023,Wrong Item,270
80091,SO75659,7/14/2023,Size Mismatch,315
80092,SO68771,11/12/2023,Wrong Item,463
80093,SO54476,2/26/2023,Unsatisfied,371
80094,SO63041,12/3/2023,Size Mismatch,251
80095,SO73304,11/25/2023,Size Mismatch,329
80096,SO52946,7/22/2023,Wrong Item,331
80097,SO52287,11/18/2023,Size Mismatch,346
80098,SO63953,7/27/2023,Wrong Item,46
80099,SO55730,6/16/2023,Unsatisfied,95
80100,SO55412,2/22/2023,Defective,56
80101,SO68000,10/29/2023,Size Mismatch,212
80102,SO65751,8/27/2023,Unsatisfied,372
80103,SO61443,6/16/2023,Unsatisfied,27
80104,SO66890,7/10/2023,Wrong Item,119
80105,SO55488,1/3/2023,Wrong Item,191
80106,SO65299,7/18/2023,Size Mismatch,268
80107,SO79456,9/28/2023,Defective,196
80108,SO52794,10/14/2023,Defective,472
80109,SO68773,2/9/2023,Size Mismatch,185
80110,SO72844,12/16/2023,Defective,359
80111,SO71826,6/25/2023,Defective,243
80112,SO67970,7/29/2023,Wrong Item,496
80113,SO66021,3/13/2023,Unsatisfied,99
80114,SO60484,5/12/2023,Unsatisfied,468
80115,SO78271,6/23/2023,Size Mismatch,276
80116,SO74516,7/28/2023,Defective,239
80117,SO66705,1/16/2023,Wrong Item,291
