customer_id,country,city
10001,Germany,Sydney
10002,France,Sydney
10003,Australia,Berlin
10004,Germany,Paris
10005,UK,Berlin
10006,Germany,Berlin
10007,USA,Berlin
10008,Germany,New York
10009,USA,New York
10010,France,Berlin
10011,Canada,Sydney
10012,UK,London
10013,Canada,Paris
10014,USA,Paris
10015,UK,London
10016,Canada,Paris
10017,UK,Paris
10018,UK,Berlin
10019,USA,Paris
10020,France,New York
10021,USA,New York
10022,Canada,Toronto
10023,UK,Berlin
10024,France,Berlin
10025,UK,Toronto
10026,Germany,Toronto
10027,Germany,London
10028,Germany,London
10029,Australia,London
10030,France,London
10031,France,Paris
10032,Australia,London
10033,Germany,Toronto
10034,Australia,Paris
10035,USA,Paris
10036,France,Berlin
10037,Canada,Berlin
10038,Australia,New York
10039,Australia,Berlin
10040,USA,Berlin
10041,USA,Paris
10042,UK,Toronto
10043,UK,Paris
10044,Australia,New York
10045,USA,New York
10046,USA,Sydney
10047,USA,Berlin
10048,Germany,Sydney
10049,Germany,Toronto
10050,Canada,London
10051,France,Sydney
10052,Germany,London
10053,France,Toronto
10054,UK,New York
10055,Germany,Sydney
10056,Germany,New York
10057,UK,Toronto
10058,Australia,Berlin
10059,Canada,New York
10060,UK,Toronto
10061,Canada,Berlin
10062,USA,Sydney
10063,Canada,Toronto
10064,Germany,Toronto
10065,Canada,Berlin
10066,Australia,Sydney
10067,Australia,Berlin
10068,France,Paris
10069,UK,Paris
10070,Australia,London
10071,France,Sydney
10072,UK,Paris
10073,Germany,London
10074,Canada,London
10075,Germany,Sydney
10076,Australia,Paris
10077,France,Sydney
10078,UK,Berlin
10079,USA,Paris
10080,Australia,Berlin
10081,UK,Berlin
10082,Canada,Paris
10083,UK,New York
10084,UK,Toronto
10085,Canada,Paris
10086,Canada,Paris
10087,Australia,New York
10088,Australia,Sydney
10089,Canada,Berlin
10090,USA,London
10091,USA,Berlin
10092,Canada,London
10093,UK,London
10094,UK,Toronto
10095,Australia,New York
10096,USA,Berlin
10097,Australia,London
10098,USA,Paris
10099,USA,Sydney
10100,Canada,Toronto
10101,Canada,Sydney
10102,Canada,Paris
10103,France,London
10104,UK,Berlin
10105,France,London
10106,UK,Berlin
10107,USA,Berlin
10108,Canada,Toronto
10109,Canada,Paris
10110,France,Paris
10111,Germany,London
10112,Canada,Sydney
10113,UK,Sydney
10114,Canada,London
10115,Canada,London
10116,USA,Sydney
10117,USA,London
10118,USA,London
10119,Germany,Paris
10120,UK,Berlin
10121,UK,Berlin
10122,Germany,Berlin
10123,Australia,Toronto
10124,Germany,Toronto
10125,USA,London
10126,USA,New York
10127,Canada,Paris
10128,Canada,Sydney
10129,Germany,Sydney
10130,UK,Berlin
10131,USA,Toronto
10132,USA,Sydney
10133,Australia,Sydney
10134,France,London
10135,USA,New York
10136,Australia,New York
10137,UK,Paris
10138,UK,Berlin
10139,UK,Sydney
10140,Canada,Sydney
10141,Germany,Sydney
10142,USA,New York
10143,France,Toronto
10144,UK,Sydney
10145,UK,London
10146,Germany,New York
10147,Australia,Paris
10148,Australia,Sydney
10149,Germany,Paris
10150,France,Toronto
10151,Canada,Sydney
10152,USA,Berlin
10153,Australia,New York
10154,Germany,Paris
10155,USA,Toronto
10156,Australia,Toronto
10157,Germany,Berlin
10158,Germany,Berlin
10159,USA,London
10160,UK,London
10161,UK,Toronto
10162,France,New York
10163,UK,New York
10164,Canada,London
10165,UK,New York
10166,Australia,Toronto
10167,Germany,New York
10168,Australia,London
10169,Germany,Paris
10170,Canada,Berlin
10171,Australia,Sydney
10172,UK,New York
10173,France,Paris
10174,UK,New York
10175,Australia,Sydney
10176,France,Berlin
10177,France,Toronto
10178,Canada,Toronto
10179,USA,Berlin
10180,Germany,London
10181,USA,Sydney
10182,Australia,Sydney
10183,Australia,Toronto
10184,Germany,Toronto
10185,USA,Berlin
10186,France,Toronto
10187,Germany,New York
10188,UK,Sydney
10189,USA,Toronto
10190,Canada,London
10191,Canada,Paris
10192,Canada,Sydney
10193,Canada,London
10194,Canada,Sydney
10195,Canada,Sydney
10196,Canada,Berlin
10197,Australia,Berlin
10198,USA,New York
10199,USA,London
10200,Australia,Toronto
10201,France,New York
10202,Germany,London
10203,France,Toronto
10204,USA,Toronto
10205,Germany,Paris
10206,Australia,Paris
10207,USA,New York
10208,USA,London
10209,Canada,New York
10210,UK,Sydney
10211,Australia,London
10212,UK,New York
10213,UK,Berlin
10214,UK,Paris
10215,Australia,Toronto
10216,Australia,Sydney
10217,USA,Berlin
10218,Australia,Sydney
10219,Canada,Toronto
10220,France,Berlin
10221,France,Paris
10222,UK,Paris
10223,Australia,Berlin
10224,Australia,Toronto
10225,France,Berlin
10226,Australia,London
10227,Canada,Paris
10228,Canada,London
10229,Australia,Toronto
10230,USA,London
10231,France,London
10232,UK,London
10233,Canada,London
10234,France,Berlin
10235,Australia,London
10236,Australia,Toronto
10237,France,Berlin
10238,UK,New York
10239,USA,Sydney
10240,UK,New York
10241,USA,Berlin
10242,France,New York
10243,Germany,Toronto
10244,USA,London
10245,Germany,Sydney
10246,USA,New York
10247,USA,London
10248,Germany,Paris
10249,Canada,New York
10250,Canada,Berlin
10251,France,Toronto
10252,UK,Toronto
10253,Germany,New York
10254,UK,London
10255,Canada,London
10256,Canada,New York
10257,Australia,London
